"","nombre_comuna","total","media_edad"
"1","01",36395,35.5964112005716
"2","02",23313,39.8019903912148
"3","03",29804,39.0164082947453
"4","04",37455,37.5163004298721
"5","05",30441,39.3734353953809
"6","06",30579,40.1718228791942
"7","07",33204,39.5773065453779
"8","08",27667,35.9811320754717
"9","09",22447,38.9446672012831
"10","10",24460,39.9071507420581
"11","11",25323,39.8901788887573
"12","12",30631,38.7893637164964
"13","13",41357,39.9671366043576
"14","14",37195,39.2704737323224
"15","15",30493,38.5714473123217
